NM_MUN,delta_other_crops,suit_soybean,suit_sugarcane,underused_soybean,underused_sugarcane,zone,opportunity
Guarinos,-0.07058812290632213,0.37176503802358274,0.4040032026849991,0.463011839647706,0.5003615372132759,4.169237995691781,0.1721316141719984
Anicuns,-0.059344771818477686,0.6993811090679689,0.7955283458867345,0.6921944374151696,0.7411646805769633,2.97818632243668,0.4841077133301001
Goianira,-0.03548545439975796,0.615180960535386,0.673005080929313,0.5545637871603294,0.6710610925443122,6.430063559692734,0.34115708326343275
Alto Paraíso de Goiás,-0.010998500868192493,0.22837966888246206,0.2550098527814542,0.17392335234020026,0.2614958236297326,2.3155727061234392,0.03972055761838272
Pilar de Goiás,-0.06703828050666465,0.37362741355110207,0.43374254344177143,0.434404392240403,0.5013039886267332,4.301926220950206,0.1623053895080202
Goiânia,-0.017064605324810793,0.34228020006443616,0.3761078708895944,0.34569072442494364,0.38443846890994915,6.962451380263632,0.11832309031658958
Aloândia,-0.06027395730956265,0.8301117992881553,0.8700492531407241,0.6110796391723261,0.8933192278378778,8.624388856658586,0.5072644187816963
Pirenópolis,-0.013426586695892414,0.3152682038138615,0.3891883662822817,0.31819925643222785,0.4044725717628557,2.1813936105417575,0.1003181080302948
Alto Horizonte,-0.10489710354431958,0.48820672600909143,0.434218779572669,0.6418140640570869,0.550372318885845,3.8814637218847126,0.31333794291989964
Amorinópolis,-0.060900852723968495,0.5939183541107215,0.6519824770925474,0.5938850835849195,0.7439663742194693,6.3250356202868785,0.35271925137366367
Piracanjuba,-0.032709507055067276,0.717402874434866,0.7783325845415229,0.4493802540332815,0.7937726111469158,2.8739149270640265,0.32238668595774644
Piranhas,-0.06222047035185415,0.5406602223876069,0.5231193464630636,0.5619270413500951,0.6030617250072888,4.864715271465403,0.3038115991419524
Americano do Brasil,-0.06389117277254149,0.6906947080574221,0.796874238422873,0.6839314210606351,0.7895701843465375,1.711568544856144,0.47238781320077317
Gouvelândia,-0.06828475165691203,0.8621568420223665,0.8645729260437757,0.6474783532603504,0.3788851377488538,8.884965270169275,0.558227892324786
Goiatuba,-0.06508034698518422,0.8166964330216355,0.8385491924678109,0.33311792707082355,0.6676553277782963,8.888577119402111,0.2720562228143029
Goiás,-0.050477294032160884,0.4381770493734792,0.47789943318241607,0.5163590457856873,0.5659803080196344,3.965129405764144,0.22625668309967767
Amaralina,-0.12246822453940158,0.5076875088635749,0.4551646369904803,0.6428795382502748,0.5823897323815946,4.485823263207066,0.32638191127364735
Alvorada do Norte,-0.036111845930302804,0.46828068912398557,0.4650161347965369,0.49899318558536443,0.5145671832822671,5.102022787829896,0.23366887281408727
Acreúna,-0.07182959073932882,0.7825130756007057,0.7868631569275862,0.427228653481982,0.6553470192811092,8.783650329785393,0.3343120076209339
Divinópolis de Goiás,-0.05025251566521291,0.4977913451541508,0.5291546651286038,0.5161332028992972,0.541717438687422,7.996910772821667,0.2569266413499614
Perolândia,-0.0182464537157916,0.7310152232883509,0.7902184552596684,0.16999096561763197,0.7366016601858051,0.6951970723024903,0.12426598368797562
Abadiânia,-0.00947717862758204,0.4354575316582608,0.5488907266698786,0.329838587598185,0.5797373126244286,1.3117522625225229,0.14363069720115268
Paraúna,-0.061936677735949984,0.6869282014077143,0.7075444233805908,0.31019901753176404,0.7051968014379986,8.701987097409631,0.2130844531915347
Água Fria de Goiás,-0.010020074321981324,0.3576590951473061,0.3968227330241872,0.15374855016710312,0.40002333486451397,0.9458634736382922,0.0549895673329763
Adelândia,-0.07250113340503651,0.7840660100183129,0.8568215793627352,0.817732970911599,0.873558765061463,4.187837234776256,0.6411566277630786
Gameleira de Goiás,-0.01177287855148403,0.650843373664722,0.7285885921384907,0.20970182684866118,0.7488235132781313,0.18050937433046885,0.13648304444983803
Petrolina de Goiás,-0.03216347749566531,0.5382601276697224,0.644030311961389,0.5533333921739093,0.6562283485068469,1.6426758928689638,0.297837302315449
Abadia de Goiás,-0.0378106450141215,0.5789136267779612,0.6752187742608995,0.5977802300826185,0.7029531826793488,6.912162997975217,0.3460631210132928
Goianésia,-0.03710970785974204,0.5151111849569731,0.60197917295844,0.5169561558315382,0.5185713897045443,4.576120651145807,0.26628989800118524
