NM_MUN,SIGLA_UF,delta_cattle,delta_conservation,delta_other_crops,delta_pisciculture,delta_solar,delta_soybean,delta_sugarcane,suit_cattle,suit_conservation,suit_other_crops,suit_pisciculture,suit_solar,suit_soybean,suit_sugarcane,underused_other_crops,underused_pisciculture,underused_soybean,underused_sugarcane,zone
Davinópolis,GO,0.0,-0.0778,-0.0036,0.0092,-0.0161,0.0,0.0055,0.517,0.5444,0.2972,0.1058,0.2411,0.4,0.5373,0.3665,0.0634,0.3929,0.5809,0
Nazário,GO,0.0,-0.0819,-0.0545,0.0057,-0.0435,0.0014,0.0,0.7658,0.4914,0.6318,0.3262,0.4089,0.7334,0.7994,0.7485,0.232,0.6472,0.7973,4
Nerópolis,GO,0.0,-0.0825,-0.0244,0.0069,-0.0297,0.0,0.0,0.7871,0.5346,0.4767,0.1631,0.3416,0.5198,0.6338,0.5544,0.059,0.5084,0.664,6
Cristianópolis,GO,0.0,-0.0787,-0.0191,0.0079,-0.0287,0.0,0.0,0.7288,0.501,0.4943,0.1499,0.3435,0.5967,0.6651,0.629,0.0153,0.4197,0.6808,0
Nova América,GO,0.0,-0.0877,-0.075,0.0,-0.053,-0.0067,0.0,0.6733,0.5166,0.4323,0.0538,0.3019,0.4977,0.6117,0.5367,0.017,0.5648,0.6654,4
Cristalina,GO,0.0,-0.0818,-0.005,0.0212,-0.0224,0.0,0.0163,0.636,0.4297,0.5229,0.1834,0.3812,0.6366,0.6626,0.6529,0.0816,0.2158,0.6886,0
Cromínia,GO,0.0,-0.0787,-0.0399,0.0026,-0.0333,0.0,0.0,0.5853,0.4212,0.5198,0.1109,0.3214,0.6652,0.7474,0.7047,0.0398,0.6887,0.7845,8
Niquelândia,GO,0.0,-0.0765,-0.0226,0.0006,-0.0194,-0.0002,0.0,0.5242,0.4488,0.1907,0.0699,0.1577,0.2379,0.2564,0.256,0.0365,0.1941,0.2779,4
Crixás,GO,0.0,-0.0865,-0.0918,0.0,-0.0935,-0.0153,0.0,0.4665,0.4266,0.3736,0.1221,0.2516,0.3961,0.3369,0.5499,0.0778,0.5364,0.4125,5
Mossâmedes,GO,0.0,-0.0841,-0.0615,0.0006,-0.0427,0.0001,0.0,0.812,0.5154,0.562,0.1065,0.352,0.6185,0.7189,0.6626,0.0083,0.638,0.7374,3
Vila Boa,GO,0.0,-0.0648,-0.0152,0.0095,-0.0298,0.0,-0.0009,0.4896,0.3265,0.3535,0.1721,0.3672,0.4728,0.481,0.4872,0.129,0.4959,0.5116,3
Mozarlândia,GO,0.0,-0.0899,-0.1219,0.0,-0.1073,-0.02,0.0,0.4958,0.3501,0.5012,0.2764,0.2639,0.4955,0.3875,0.7187,0.1847,0.6577,0.4621,5
Vianópolis,GO,0.0,-0.0808,-0.0094,0.0128,-0.0288,0.0,0.0052,0.731,0.4115,0.5677,0.1518,0.4104,0.645,0.7288,0.7015,0.0323,0.2299,0.7546,0
Morrinhos,GO,0.0,-0.0781,-0.0375,0.0056,-0.0303,0.0,0.0,0.632,0.3738,0.5355,0.2034,0.3024,0.6537,0.7361,0.6766,0.0774,0.5209,0.7222,7
Montividiu do Norte,GO,0.0,-0.0725,-0.0735,0.0,-0.0525,-0.0068,0.0,0.5852,0.3924,0.378,0.1621,0.2819,0.4177,0.3889,0.5384,0.1029,0.518,0.4914,4
